SiteName,County,AQI,Pollutant,Status,SO2,CO,CO_8hr,O3,O3_8hr,PM10,PM2.5,NO2,NOx,NO,WindSpeed,WindDirec,PublishTime,PM2.5_AVG,PM10_AVG,SO2_AVG,Longitude,Latitude,SiteId
恆春,屏東縣,16,,良好,0.9,0.04,0.1,17,17,2,ND,1,3.2,2.2,4,226,2020-09-11 15:00,2,5,1,120.788928,21.958069,61
美濃,高雄市,31,,良好,0.6,0.18,0.2,28,33,13,8,11,13,1.6,1.1,43,2020-09-11 15:00,8,20,1,120.530542,22.883583,47
苗栗,苗栗縣,56,細懸浮微粒,普通,2.4,0.22,0.3,47,39,26,18,6,8.2,2.3,2,255,2020-09-11 15:00,17,31,3,120.8202,24.565269,26
埔里,南投縣,50,,良好,1.3,0.22,0.3,58,36,22,14,3.8,4.3,0.5,3.3,287,2020-09-11 15:00,15,23,2,120.967903,23.968842,72
桃園,桃園市,67,細懸浮微粒,普通,1,0.27,0.5,39,32,30,16,10,12,1.3,1.7,269,2020-09-11 15:00,22,35,5,121.304383,24.995368,17
馬公,澎湖縣,32,,良好,1.3,0.14,0.2,30,29,14,11,1.8,3.6,1.9,2.2,244,2020-09-11 15:00,10,12,2,119.566158,23.569031,78
馬祖,連江縣,64,臭氧八小時,普通,3.4,0.13,0.2,82,59,,10,2.7,3.3,0.6,6.7,179,2020-09-11 15:00,16,,3,119.949875,26.160469,75
基隆,基隆市,74,細懸浮微粒,普通,3,0.29,0.4,74,52,,24,4.9,5.2,0.3,1.6,82,2020-09-11 15:00,25,,3,121.760056,25.129167,1
崙背,雲林縣,42,,良好,1.9,0.18,0.2,54,34,28,15,6.5,10,3.5,2.2,269,2020-09-11 15:00,13,25,2,120.348742,23.757547,38
淡水,新北市,57,細懸浮微粒,普通,1.7,0.18,0.5,50,33,17,13,4.5,4.7,0.3,,,2020-09-11 15:00,18,29,2,121.449239,25.1645,10
麥寮,雲林縣,43,,良好,1.5,0.14,0.2,38,31,11,12,3.3,4.5,1.2,3.5,243,2020-09-11 15:00,13,23,2,120.251825,23.753506,83
善化,臺南市,32,,良好,1.7,0.19,0.2,33,31,31,8,5.4,7,1.6,2.2,81,2020-09-11 15:00,10,19,2,120.297142,23.115097,44
富貴角,新北市,53,細懸浮微粒,普通,0.5,0.16,0.2,58,51,29,10,1.2,1.2,0.1,3.2,250,2020-09-11 15:00,16,26,1,121.536763,25.298562,84
復興,高雄市,21,,良好,1.6,0.15,0.4,17,16,8,5,4.4,5.6,1.2,1.3,239,2020-09-11 15:00,7,14,2,120.312017,22.608711,71
湖口,新竹縣,51,細懸浮微粒,普通,1.3,0.16,0.3,32,34,20,12,2,3.8,1.8,4.4,261,2020-09-11 15:00,16,23,2,121.038653,24.900142,22
菜寮,新北市,65,細懸浮微粒,普通,1.7,0.36,0.7,69,44,35,19,14,19,5.2,2.3,83,2020-09-11 15:00,21,36,2,121.481028,25.06895,8
陽明,臺北市,54,細懸浮微粒,普通,1.4,0.23,0.3,60,50,26,17,4.6,5.3,0.8,,,2020-09-11 15:00,17,27,1,121.529583,25.182722,64
新竹,新竹市,44,,良好,2.5,0.3,0.4,39,38,28,11,7.4,10,2.7,3.6,261,2020-09-11 15:00,13,26,3,120.972075,24.805619,24
新店,新北市,67,臭氧八小時,普通,3.2,0.34,0.5,86,60,31,19,8.6,10,1.7,1.5,285,2020-09-11 15:00,22,32,2,121.537778,24.977222,4
新莊,新北市,65,細懸浮微粒,普通,3.5,0.41,0.7,72,47,35,20,9.8,11,0.8,1.9,173,2020-09-11 15:00,21,,5,121.4325,25.037972,7
新港,嘉義縣,42,,良好,1.2,0.22,0.3,45,33,21,10,4.8,5.8,1,3.6,177,2020-09-11 15:00,13,23,2,120.345531,23.554839,39
新營,臺南市,41,,良好,0.9,0.21,0.3,40,35,9,7,6.9,8.3,1.4,1.3,212,2020-09-11 15:00,13,19,2,120.31725,23.305633,43
楠梓,高雄市,26,,良好,0.5,0.13,0.3,15,22,13,ND,7.8,11,2.7,1.8,290,2020-09-11 15:00,8,18,1,120.328289,22.733667,53
萬里,新北市,68,細懸浮微粒,普通,3.1,0.27,0.3,70,54,34,20,5.8,6.9,1.1,2.3,58,2020-09-11 15:00,22,,2,121.689881,25.179667,3
萬華,臺北市,65,細懸浮微粒,普通,3.4,0.46,0.7,67,47,,19,16,16,-0.4,1.5,262,2020-09-11 15:00,21,36,2,121.507972,25.046503,13
嘉義,嘉義市,39,,良好,0.6,0.2,0.3,39,35,15,9,5.8,7.2,1.4,1.4,166,2020-09-11 15:00,12,21,1,120.440833,23.462778,42
彰化,彰化縣,54,細懸浮微粒,普通,2.4,0.2,0.3,56,41,25,13,6.3,6.7,0.4,2.7,264,2020-09-11 15:00,17,28,6,120.541519,24.066,33
彰化(大城),彰化縣,48,,良好,3.7,0.11,0.1,37,33,15,9,6.4,8.9,2.4,3.9,261,2020-09-11 15:00,15,22,2,120.273117,23.843139,202
臺西,雲林縣,22,,良好,,,,,,,,,,,,,2020-09-11 15:00,,,,120.202842,23.717533,41
臺東,臺東縣,24,,良好,1.2,0.18,0.3,22,22,11,4,2.2,3,0.8,1.9,161,2020-09-11 15:00,7,15,1,121.15045,22.755358,62
臺南,臺南市,25,,良好,1.6,0.16,0.2,27,25,11,6,6.1,8.3,2.2,2,110,2020-09-11 15:00,8,13,2,120.202617,22.984581,46
臺南(北門),臺南市,29,,良好,0.1,0.15,0.2,35,31,9,7,3.1,5,1.9,1.7,244,2020-09-11 15:00,8,15,1,120.124444,23.264722,310
臺南(麻豆),臺南市,33,,良好,1,0.21,0.3,31,26,11,,10,14,4,2.4,129,2020-09-11 15:00,10,19,1,120.245831,23.179047,203
鳳山,高雄市,24,,良好,2.1,0.24,0.4,16,17,9,3,4.3,9.1,4.8,1.6,255,2020-09-11 15:00,7,14,3,120.358083,22.627392,50
潮州,屏東縣,21,,良好,0.9,0.07,0.1,19,21,9,4,2.4,3.3,0.9,2.6,258,2020-09-11 15:00,6,11,1,120.561175,22.523108,60
線西,彰化縣,47,,良好,1.3,0.15,0.2,39,42,16,10,0.7,3.3,2.6,4.4,254,2020-09-11 15:00,15,28,3,120.469061,24.131672,34
橋頭,高雄市,20,,良好,1.7,0.09,0.2,19,22,5,2,2.6,4.5,2,2.9,235,2020-09-11 15:00,5,12,2,120.305689,22.757506,48
頭份,苗栗縣,53,細懸浮微粒,普通,2.3,0.18,0.3,36,35,15,14,5.8,8.3,2.4,4.4,284,2020-09-11 15:00,16,26,2,120.898572,24.696969,25
龍潭,桃園市,59,細懸浮微粒,普通,3.7,0.3,0.4,62,46,28,20,7.9,8.5,0.6,2.2,255,2020-09-11 15:00,19,,3,121.21635,24.863869,21
豐原,臺中市,54,細懸浮微粒,普通,3.1,0.24,0.3,68,48,35,16,8.6,9.7,1.1,3.6,219,2020-09-11 15:00,17,31,3,120.741711,24.256586,28
關山,臺東縣,18,,良好,2.2,-,,21,19,5,2,0,1.3,1.3,2.1,226,2020-09-11 15:00,5,9,2,121.161933,23.045083,80
觀音,桃園市,58,細懸浮微粒,普通,1.1,0.15,0.2,32,39,24,12,3.5,4,0.5,4.8,248,2020-09-11 15:00,19,30,3,121.082761,25.035503,19
